"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
686,"Tranquility in Park Slope House & Garden",923791,"Daniel","Brooklyn","South Slope",40.66473,-73.98704,"Entire home/apt",390,4,14,"6/29/2019",0.36,2,13
687,"Comfy bedroom in apt share 20 mins to City!",30532557,"Eibhlin","Brooklyn","Bedford-Stuyvesant",40.6881,-73.92843,"Private room",39,30,0,NA,NA,5,145
688,"The Perfume Lab Inspiration Duplex of Brooklyn",193345547,"Victorine","Brooklyn","Bushwick",40.69987,-73.92203,"Entire home/apt",135,1,0,NA,NA,2,331
689,"Room 25 min away from Manhattan 7train/busQ67",31044879,"Ara","Queens","Sunnyside",40.73718,-73.9209,"Private room",60,3,8,"7/1/2019",1.27,2,0
690,"Home 4 Medical Professionals- The ""Zona""",26377263,"Stat","Brooklyn","Bushwick",40.70406,-73.91811,"Private room",48,30,3,"3/2/2019",0.06,43,224
691,"Large Sunny Nicely Furnished Studio",19772879,"Kim","Manhattan","Washington Heights",40.83818,-73.94303,"Entire home/apt",100,1,0,NA,NA,1,0
692,"Charming Getaway in West Village",15523549,"Tanny","Manhattan","West Village",40.73491,-74.00578,"Entire home/apt",139,2,11,"6/2/2019",0.27,1,49
693,"4 min subway. 2beds 3people private room&bothroom",196058543,"美德","Queens","Forest Hills",40.72081,-73.83821,"Private room",88,2,37,"7/6/2019",4.04,5,210
694,"Bluebird Hell's Kitchen 1-BR + Full Service Spa!",95459395,"Bluebird","Manhattan","Hell's Kitchen",40.76115,-73.99823,"Entire home/apt",499,30,0,NA,NA,18,146
695,"1 Clean room in 2BR Apt Manhattan",19572312,"Alejandra","Manhattan","East Village",40.72695,-73.98546,"Private room",120,1,2,"7/25/2016",0.06,1,0
696,"Luxury - Jr. 1 Br/High Fl- Rooftop Terrace Access",6562449,"John","Manhattan","Upper West Side",40.79325,-73.97237,"Entire home/apt",325,1,16,"6/30/2019",1.95,1,7
697,"BROOKLYN FAVORITE VACATION HOME 2",8335875,"Mr. Williams","Brooklyn","Park Slope",40.68242,-73.97904,"Entire home/apt",215,3,59,"5/23/2019",0.84,1,356
698,"Cute little room",104300362,"Cristina","Queens","East Elmhurst",40.75596,-73.89702,"Private room",45,4,17,"6/10/2019",0.79,1,314
699,"Lg Rm in Historic Prospect Heights",62165,"Michael","Brooklyn","Prospect Heights",40.67386,-73.96641,"Private room",85,15,9,"5/10/2013",0.09,1,339
700,"A cozy room on the Upper West Side.",21221987,"Joshua","Manhattan","Upper West Side",40.79512,-73.97479,"Private room",80,5,1,"9/8/2015",0.02,1,0
701,"Coziest space off the j",158314625,"Tyrany","Brooklyn","Bedford-Stuyvesant",40.68992,-73.92594,"Private room",70,1,1,"12/8/2018",0.14,2,0
702,"Master Bedroom available with en suite bathroom.",6960329,"Edna","Manhattan","Upper West Side",40.77484,-73.98659,"Private room",130,2,2,"6/30/2019",0.94,1,150
703,"Clean Chinatown Studio",10388662,"Frances","Manhattan","Chinatown",40.71515,-73.99863,"Entire home/apt",145,4,13,"6/10/2019",0.63,1,86
704,"2 Beds in Private Room 1- 20 minutes to Manhattan",220149091,"Peter","Brooklyn","Bedford-Stuyvesant",40.69441,-73.94848,"Private room",65,2,14,"6/10/2019",1.85,4,365
705,"Large NYC FLAWLESS Room  Close to public transport",55948559,"Barry","Bronx","Pelham Gardens",40.86686,-73.84207,"Private room",35,1,16,"1/21/2019",0.61,4,3
706,"Cozy room with Queen Bed close to Columbia Uni",41434577,"Nino","Manhattan","Morningside Heights",40.80413,-73.96556,"Private room",49,30,0,NA,NA,1,32
707,"Two Floor Open Space Perfect 'Hood",7227499,"John","Manhattan","West Village",40.73523,-74.00607,"Entire home/apt",250,2,2,"11/8/2015",0.04,1,0
708,"Bright, beautiful room, just block to A, C train",10210950,"Olya","Brooklyn","Bedford-Stuyvesant",40.67704,-73.91484,"Private room",60,1,13,"12/13/2017",0.46,1,0
709,"Happy and spacious corner near 7 train",17638424,"Sophie","Queens","Elmhurst",40.74576,-73.87407,"Private room",47,1,87,"6/4/2019",2.35,8,156
710,"Comfortable, Quiet, And A Good Night Sleep.",214678935,"Kin","Brooklyn","Sunset Park",40.6465,-74.01454,"Private room",55,1,14,"7/1/2019",2.2,3,174
711,"Large living room, near transit, gym, super clean",236430571,"Marguerite","Brooklyn","Flatlands",40.6316,-73.94559,"Entire home/apt",80,1,2,"6/2/2019",1.02,1,132
712,"A Luxury Studio in the Heart of Greenwich Village!",227569206,"Suzy","Manhattan","Tribeca",40.71478,-74.01161,"Entire home/apt",280,3,4,"5/25/2019",0.55,1,328
713,"Quiet Two Bedroom with Sunroom",48804458,"Andrew","Queens","Ridgewood",40.70432,-73.90015,"Entire home/apt",87,5,133,"6/24/2019",3.5,2,49
714,"South Park Slope 2 BR Garden-Level - Brand New!",48164151,"Todd","Brooklyn","Sunset Park",40.66294,-73.99146,"Entire home/apt",250,3,0,NA,NA,1,85
715,"Charming 1 bedroom for female guest",1283375,"Shalini","Brooklyn","Prospect Heights",40.67414,-73.9662,"Private room",65,2,7,"7/2/2019",1.5,1,63
716,"Vibrant Bedroom in MidCentury Soho Apt",19638146,"Brett","Manhattan","SoHo",40.72608,-74.00031,"Private room",95,1,17,"7/6/2019",5.37,3,74
717,"Spacious apt in the Lower East Side",132244,"Tal","Manhattan","Lower East Side",40.71762,-73.98334,"Entire home/apt",400,7,0,NA,NA,1,365
718,"Grad Pad Oasis",177714844,"Chuck","Brooklyn","Flatbush",40.64135,-73.96811,"Private room",44,30,1,"3/23/2018",0.06,1,0
719,"Renovated 20min train to enter city 5min to subway",20438455,"Jason","Brooklyn","Borough Park",40.63993,-73.98209,"Private room",50,2,118,"7/3/2019",4.66,2,45
720,"Cozy bedroom - 3 Stops to Times Square",268796947,"Derreck","Queens","Long Island City",40.75366,-73.9311,"Private room",89,1,0,NA,NA,5,359
721,"Sunny Brooklyn Brownstone",67265708,"Esteban","Brooklyn","Crown Heights",40.67712,-73.95132,"Private room",110,7,0,NA,NA,1,89
722,"(ABC) 3 bedrooms-2 bath up to 6 pp",110965771,"Wilson","Queens","Flushing",40.77317,-73.82405,"Private room",200,2,12,"6/9/2019",0.64,7,35
723,"Noel Palace",40164647,"Michele","Brooklyn","Midwood",40.62713,-73.95221,"Private room",150,3,0,NA,NA,1,0
724,"Spacious Room",184000316,"Ebony","Brooklyn","East New York",40.66972,-73.88393,"Private room",55,1,1,"8/28/2018",0.09,1,87
725,"Friendly relaxing place for you to stay",72166833,"Shalini","Manhattan","Washington Heights",40.84389,-73.93688,"Private room",51,3,0,NA,NA,1,13
726,"Sunny, Spacious Lower Harlem Condo",1402455,"Damian","Manhattan","East Harlem",40.80153,-73.94435,"Private room",100,2,0,NA,NA,1,0
727,"Williamsburg floor through loft",471153,"Ramsay","Brooklyn","Williamsburg",40.71014,-73.96384,"Entire home/apt",300,7,2,"6/29/2018",0.09,1,352
728,"Rooms in the new hipster area of Brooklyn, NYC 3",266998393,"Hector","Brooklyn","Bushwick",40.69427,-73.91995,"Private room",30,3,0,NA,NA,3,100
729,"PRIVATE suite / luxury building / west Chelsea",54481883,"Camille","Manhattan","Chelsea",40.74469,-74.00535,"Entire home/apt",250,4,0,NA,NA,2,0
730,"Comfy, Awesome, Large Apt. in Brownstone",127196839,"Nicky","Brooklyn","Clinton Hill",40.68805,-73.96114,"Private room",95,2,45,"6/15/2019",2.11,1,43
731,"Charming and Sunny Central Brooklyn",139311,"Michael","Brooklyn","Boerum Hill",40.68363,-73.98011,"Entire home/apt",150,2,63,"11/3/2018",1.26,1,0
732,"THE THOMPSON SUITE",4065620,"Debbie","Brooklyn","Bedford-Stuyvesant",40.68663,-73.9379,"Entire home/apt",155,3,1,"7/1/2019",1,2,342
733,"Private bedroom with private bathroom!",265703830,"Noah","Brooklyn","Bedford-Stuyvesant",40.69423,-73.94627,"Private room",150,1,0,NA,NA,1,365
734,"2 bedroom apt. in Manhattan-Gramercy apt building",117932348,"Deborah","Manhattan","Gramercy",40.73521,-73.98147,"Entire home/apt",155,20,25,"7/5/2019",1.06,2,62
735,"Sonder | 180 Water | Airy 2BR + Rooftop",12243051,"Sonder","Manhattan","Financial District",40.70798,-74.00591,"Entire home/apt",299,29,0,NA,NA,96,189
736,"Twin Bed in the heart of Downtown Manhattan",1022166,"Roda","Manhattan","East Village",40.73216,-73.98937,"Shared room",65,4,6,"6/8/2019",2.07,1,35
737,"Enormous bedroom in UWS 2-bed",19251040,"Barr","Manhattan","Upper West Side",40.79275,-73.97199,"Private room",90,3,1,"6/11/2015",0.02,1,0
738,"Cozy 3BR apartment on Quiet Block",102754726,"Paula","Brooklyn","Bedford-Stuyvesant",40.68562,-73.94042,"Entire home/apt",300,2,34,"6/3/2019",1.11,1,180
739,"*NO GUEST SERVICE FEE* Beekman Tower Studio with Fully Equipped Kitchen",205031545,"Red Awning","Manhattan","Midtown",40.75308,-73.96732,"Entire home/apt",699,3,9,"2/24/2019",1.09,49,190
740,"Private room in the hearth of NYC",58467654,"Thomas","Manhattan","Midtown",40.75771,-73.96872,"Private room",90,3,3,"1/2/2017",0.07,1,0
741,"Huge 1-Bedroom, A+ Midtown Location",37803660,"Adrienne","Manhattan","Midtown",40.75088,-73.96918,"Entire home/apt",199,4,1,"1/5/2016",0.02,1,0
742,"Mid-Mod 1 Bedroom Washington Heights NYC",75224562,"Michael","Manhattan","Washington Heights",40.84855,-73.93704,"Entire home/apt",250,2,1,"12/21/2017",0.05,1,0
743,"Beautiful and Convenient",39335488,"Mirlande","Manhattan","East Harlem",40.81211,-73.9378,"Private room",75,3,134,"6/2/2019",2.88,1,90
744,"Spacious Studio - 5 Mins from Times Square.",37412692,"Kim","Manhattan","Midtown",40.76539,-73.98329,"Entire home/apt",169,30,0,NA,NA,4,362
745,"Park Slope Garden Lovers Duplex",65672074,"Miriam","Brooklyn","South Slope",40.66781,-73.99024,"Entire home/apt",135,7,1,"8/5/2016",0.03,1,21
746,"Guest Bedroom in light-filled Williamsburg Loft",3286195,"Huston","Brooklyn","Williamsburg",40.71839,-73.94621,"Private room",75,1,8,"7/1/2019",3.53,1,109
747,"Convienent Midtown West getwaway!",28362995,"Landa","Manhattan","Hell's Kitchen",40.76042,-73.99021,"Entire home/apt",300,3,0,NA,NA,1,0
748,"Quiet Cozy Chinatown Room",41408521,"David","Manhattan","Chinatown",40.71385,-73.99711,"Private room",75,1,3,"8/12/2017",0.08,1,0
749,"Adorable Hamilton Heights Apartment",5132258,"Jessica","Manhattan","Harlem",40.82434,-73.95066,"Entire home/apt",200,3,14,"3/9/2019",0.73,2,0
750,"Beautiful New Entire Parkview 3bed 2.5bath",257647514,"Juhyun","Brooklyn","Bushwick",40.69175,-73.90932,"Entire home/apt",250,2,1,"6/26/2019",1,2,9
751,"Awesome one-bedroom in the UES, Manhattan",26928086,"Alice","Manhattan","Upper East Side",40.77928,-73.94862,"Entire home/apt",140,2,6,"6/30/2017",0.17,1,0
752,"Suite Splendor near the Prospect Park.",864766,"Leigh","Brooklyn","Park Slope",40.66912,-73.97493,"Entire home/apt",150,5,6,"6/30/2019",0.74,1,0
753,"Studio apartment near Monte Fiore hospital",18934273,"Max","Bronx","Norwood",40.87529,-73.8762,"Private room",40,1,1,"12/24/2016",0.03,1,0
754,"East 63rd street 1bd Serviced Apartment",22541573,"Ken","Manhattan","Upper East Side",40.76371,-73.96153,"Entire home/apt",225,30,1,"11/12/2016",0.03,87,341
755,"Tropical Bushwick Paradise",269266449,"Andrea","Brooklyn","Bushwick",40.70266,-73.91723,"Private room",50,7,1,"6/28/2019",1,1,310
756,"Columbia University Area",175497286,"Jacob","Manhattan","Washington Heights",40.83705,-73.93843,"Private room",55,1,2,"6/19/2018",0.13,1,341
757,"Private room in spacious BK community w/ parking",3285978,"Nicole","Brooklyn","Bedford-Stuyvesant",40.69998,-73.94369,"Private room",50,1,5,"1/13/2019",0.71,2,0
758,"Furnished Room in a Spacious Apt",731601,"Idil","Queens","Astoria",40.77199,-73.93159,"Private room",55,15,1,"8/13/2015",0.02,2,0
759,"Clean and Cozy in Greenpoint/W'burg",1721426,"Ashia","Brooklyn","Greenpoint",40.72559,-73.95384,"Entire home/apt",167,5,2,"6/9/2015",0.04,1,0
760,"Beautiful modern Brooklyn room, 20mins to city",42928837,"Reuben","Brooklyn","Williamsburg",40.70733,-73.92996,"Private room",50,4,6,"10/8/2018",0.23,1,0
761,"Simple Spacious Apartment",21261796,"John","Brooklyn","Greenpoint",40.73515,-73.95645,"Entire home/apt",154,5,0,NA,NA,1,0
762,"Meatpacking Triplex - A small home within NYC",67097911,"J.J.","Manhattan","Chelsea",40.74101,-74.00496,"Entire home/apt",300,2,7,"8/5/2017",0.21,1,0
763,"Beautiful UES residence minutes from everything",17318747,"Jay","Manhattan","Upper East Side",40.77084,-73.95811,"Private room",99,1,20,"6/30/2019",0.42,2,278
764,"Clean and modern space in Clinton Hills",182152235,"Tyrone","Brooklyn","Bedford-Stuyvesant",40.6886,-73.95884,"Entire home/apt",148,2,38,"7/1/2019",3.28,2,102
765,"# sunny skylit sanctuary in the heart of BK! #",1903737,"Natalie","Brooklyn","Bedford-Stuyvesant",40.69588,-73.93384,"Private room",29,3,30,"3/24/2019",0.65,3,0
766,"New York City  Apartment",215765235,"Julia","Manhattan","NoHo",40.72503,-73.99252,"Entire home/apt",500,5,1,"5/27/2019",0.7,1,362
767,"Clean and Cozy room in Central Manhattan",30656279,"Jill","Manhattan","Hell's Kitchen",40.76634,-73.98721,"Private room",61,30,3,"5/27/2018",0.11,4,160
768,"Manhattan Sunny Private Room",20586090,"Grant","Manhattan","Harlem",40.82356,-73.95457,"Private room",53,5,8,"1/5/2017",0.23,1,0
769,"Cozy sun drenched 2br Fort Greene",1403669,"Simone","Brooklyn","Fort Greene",40.68547,-73.96886,"Entire home/apt",180,4,20,"9/5/2018",0.39,1,208
770,"❥❥NYC Apt: 4min/subway, 25m/city, 20m/LGA,JFK❥❥",63272360,"Annie Lawrence","Queens","Woodhaven",40.69389,-73.86823,"Entire home/apt",140,3,0,NA,NA,6,232
771,"Beautiful Modern Spacious 3 bedroom Apartment",192874460,"Marie","Brooklyn","Flatlands",40.62915,-73.9198,"Entire home/apt",125,2,64,"6/27/2019",4.92,1,194
772,"Entire Floor, Private Bathroom -Direct ride to JFK",5541374,"Hassan And Patti","Brooklyn","Bushwick",40.6864,-73.9133,"Private room",159,3,30,"4/22/2019",0.59,5,254
773,"Brooklyn’s finest pt. Deux",141931484,"Xie","Brooklyn","Canarsie",40.63295,-73.89202,"Private room",75,2,19,"6/19/2019",1.23,3,331
774,"Suite Donna Dina - free Street Parking+wifi",219738858,"Joe","Manhattan","East Village",40.72956,-73.98113,"Entire home/apt",161,30,18,"6/21/2019",4.22,5,204
775,"Spacious Chinatown Loft",12038925,"Keir","Manhattan","Chinatown",40.71585,-73.99171,"Entire home/apt",250,2,15,"8/26/2018",0.63,1,0
776,"quintessential modern Brooklyn loft** ONLY TONIGHT",44201583,"Jeremy","Brooklyn","DUMBO",40.70287,-73.98518,"Private room",200,7,0,NA,NA,1,0
777,"Clinton Hill Dream House",3074904,"Lauren & Chelsea","Brooklyn","Clinton Hill",40.6844,-73.96221,"Entire home/apt",190,2,10,"1/27/2019",0.77,4,12
778,"Hamiliton Heights Home",33363604,"Lauren","Manhattan","Harlem",40.81934,-73.95668,"Private room",50,2,0,NA,NA,1,0
779,"Private Room in Modern Apartment",27362570,"Autumn","Queens","Ridgewood",40.70136,-73.89608,"Private room",52,1,4,"10/24/2015",0.09,1,0
780,"Cozy 4 bedroom duplex in NYC borough of Brooklyn",138770550,"Charmine","Brooklyn","Crown Heights",40.67191,-73.93411,"Entire home/apt",350,3,6,"10/12/2018",0.43,3,100
781,"Massive, Private 1 Bedroom near Barclays Center",75287595,"Nathan","Brooklyn","Park Slope",40.6783,-73.97559,"Private room",69,1,13,"4/7/2019",1.22,1,1
782,"$47/day Private ROOM! BETTER THAN HOSTEL! In Bklyn",14157435,"Sherry","Brooklyn","Flatlands",40.62567,-73.93784,"Private room",47,1,36,"7/5/2019",1.52,1,59
783,"Cozy Junior 1BR in inwood.",8571056,"Richard","Manhattan","Inwood",40.86663,-73.92391,"Entire home/apt",80,2,4,"9/4/2018",0.13,1,0
784,"Modern and spacious in Bed Stuy",37503617,"Sonia","Brooklyn","Bedford-Stuyvesant",40.69325,-73.94819,"Entire home/apt",150,7,3,"10/5/2015",0.06,1,0
785,"Sunny Brooklyn room",9944244,"Linnea","Brooklyn","Prospect Heights",40.67303,-73.96424,"Private room",57,7,11,"4/27/2019",0.18,1,0
786,"Private Yard / Williamsburg / 10 min to Manhattan",268585880,"Angelica","Brooklyn","Williamsburg",40.71659,-73.94397,"Entire home/apt",80,1,0,NA,NA,2,1
787,"Relaxing, Riverbank Park, West Harlem",45835291,"Shareef","Manhattan","Harlem",40.82206,-73.95573,"Private room",50,7,35,"6/27/2019",4.73,6,11
788,"Comfy private room in Williamsburg",78164397,"Mike","Brooklyn","Williamsburg",40.71347,-73.96452,"Private room",85,3,99,"6/13/2019",3.09,1,19
789,"Luxurious, Spacious Loft in Williamsburg",123953239,"Philippe","Brooklyn","Williamsburg",40.71058,-73.96402,"Entire home/apt",260,2,34,"6/14/2019",1.31,2,330
790,"Cute Bright 1 Bedroom apartment in Bushwick",94422691,"Omar","Brooklyn","Bushwick",40.69694,-73.90766,"Entire home/apt",67,2,1,"7/3/2019",1,1,0
791,"Modern & Bright Queen Bedroom-Green C8",20559017,"Yohan","Manhattan","Upper East Side",40.76164,-73.95995,"Private room",65,30,3,"5/6/2019",0.08,9,342
792,"Bright Zen Bedroom with TV, nr JMZ Subways",3388950,"Amaya","Brooklyn","Bedford-Stuyvesant",40.69624,-73.93414,"Private room",72,4,59,"6/27/2019",2.22,6,120
793,"Comfortable room in gay friendly apt in HK",77915011,"Joshua","Manhattan","Hell's Kitchen",40.76806,-73.98672,"Private room",100,2,1,"6/26/2016",0.03,1,0
794,"Luxurious Brooklyn 2BD w/ Parking",16916853,"Olga","Brooklyn","Sheepshead Bay",40.58363,-73.93553,"Entire home/apt",260,7,3,"3/13/2017",0.05,2,363
795,"Central Park Treasure",14174901,"Anasha","Manhattan","Upper West Side",40.78694,-73.97384,"Entire home/apt",150,20,0,NA,NA,1,0
796,"Unique 1BR in energetic E. Village",6196141,"Brian","Manhattan","East Village",40.72271,-73.98478,"Entire home/apt",199,3,42,"6/15/2019",0.63,1,330
797,"Private Room Steps from Time Square",11428056,"Brian","Manhattan","Hell's Kitchen",40.76039,-73.99002,"Private room",70,2,11,"8/22/2016",0.24,1,0
798,"NANCY clean/quiet very close city",119155499,"Julio","Brooklyn","Bushwick",40.69369,-73.92292,"Private room",59,5,26,"6/24/2019",0.93,4,325
799,"Empire State Jazz! Superb location!",269585762,"Teri","Manhattan","Midtown",40.74894,-73.98788,"Entire home/apt",99,1,2,"6/22/2019",2,1,264
800,"Private cozy room near LGA airport",58391491,"Juel","Queens","East Elmhurst",40.76432,-73.87227,"Private room",33,1,333,"6/24/2019",10.64,5,139
801,"Stunning Room, Perfect Location, Premium Bed ❤",14552154,"Leslie","Manhattan","Midtown",40.74624,-73.98648,"Private room",140,2,76,"6/19/2019",3.73,4,148
802,"Cozy 1 Bdrm Greenpoint-Williamsburg",6155803,"Barrie","Brooklyn","Greenpoint",40.72402,-73.95025,"Entire home/apt",190,2,12,"10/15/2017",0.29,1,0
803,"AMAZING TWO BEDROOMS IN BEST PART OF SoHo!!",43810674,"Olimpia","Manhattan","SoHo",40.72599,-74.00249,"Entire home/apt",268,3,1,"6/13/2019",1,2,178
804,"Newly Reno’d Chic Quiet Exec 1BR",1144415,"Lisa","Manhattan","East Village",40.72229,-73.97901,"Entire home/apt",146,3,142,"6/16/2019",1.5,1,166
805,"Beautiful apt with prime LES location",2351947,"Caroline","Manhattan","Lower East Side",40.72065,-73.98733,"Entire home/apt",280,2,0,NA,NA,1,17
806,"Room in Hamilton Heights Apr 20-May 20 (flexible)",76409499,"Kelly","Manhattan","Harlem",40.82502,-73.95155,"Private room",45,7,1,"5/23/2018",0.07,1,0
807,"Luxury Upper East Side Apartment",39055176,"Bo","Manhattan","Upper East Side",40.76205,-73.96382,"Entire home/apt",328,2,145,"6/12/2019",3.05,1,298
808,"Spacious 1 Bed (FURNISHED!) Hudson Yards Sublet",221343982,"Christina","Manhattan","Chelsea",40.75358,-73.99707,"Private room",165,45,0,NA,NA,1,83
809,"""Dave's Island Suite""",258232863,"David","Staten Island","New Springville",40.58647,-74.15954,"Entire home/apt",68,2,8,"6/30/2019",5.33,1,4
810,"10 Beds Sleeps 15 Laundry in Apt in Williamsburg",120111937,"Madea And Julian","Brooklyn","Williamsburg",40.70865,-73.96673,"Entire home/apt",549,30,5,"6/23/2019",3.33,1,333
811,"Cute & Cozy Room in Greenpoint, BK",25854571,"Bryn","Brooklyn","Greenpoint",40.72556,-73.94104,"Private room",49,1,2,"6/8/2016",0.05,1,0
812,"Private bedroom with Attached bathroom",129174905,"Syed","Manhattan","Upper East Side",40.76174,-73.96066,"Private room",65,15,1,"12/18/2018",0.15,1,0
813,"Sunny two bedroom-two bath in doorman building UWS",42435903,"Anuja","Manhattan","Upper West Side",40.79093,-73.97528,"Entire home/apt",270,7,0,NA,NA,1,0
814,"Honey and milk - A creative studio apartment.",98714463,"Georges","Manhattan","Hell's Kitchen",40.76043,-73.995,"Private room",110,3,94,"6/24/2019",2.83,1,26
815,"Private room w/memory foam QUEEN bed SUNNY space",130858402,"Sam","Manhattan","East Village",40.72909,-73.98986,"Private room",95,1,78,"7/2/2019",4.79,1,5
816,"Great Apt Steps from Central Park",3330459,"Lynne","Manhattan","Upper West Side",40.78754,-73.96989,"Private room",113,1,93,"5/21/2019",1.12,1,2
817,"Beautiful Brooklyn Brownstone in Prime Location",127250744,"Steven","Brooklyn","Carroll Gardens",40.68036,-73.99247,"Entire home/apt",180,3,4,"6/22/2019",0.53,1,5
818,"Brooklyn Room Near Subway (45-min from Manhattan)",68740200,"Eric","Brooklyn","Cypress Hills",40.67646,-73.90579,"Private room",34,4,8,"6/30/2019",1.33,1,58
819,"ASTORIA ROOM  very nice with  Balcony N/W train",43194941,"Marco","Queens","Astoria",40.76322,-73.91132,"Private room",80,1,7,"5/26/2019",0.76,1,85
820,"Upper East Two Bed w/ 3 Beds | Sleeps 6 | Near Q",255408641,"Jackson","Manhattan","Upper East Side",40.76996,-73.95771,"Entire home/apt",250,5,7,"6/8/2019",2.76,1,155
821,"Stylish East Village One Bedroom Apartment",2303270,"Zeina","Manhattan","East Village",40.72947,-73.9813,"Entire home/apt",120,4,21,"6/24/2019",1.23,1,9
822,"ENTIRE One Bedroom Apt Available 7/21-8/16",23662073,"Maxine","Brooklyn","Prospect-Lefferts Gardens",40.66238,-73.95135,"Entire home/apt",70,7,0,NA,NA,1,14
823,"Historic Jumel Terrace Manhattan",24454906,"Kristopher","Manhattan","Washington Heights",40.83301,-73.9394,"Entire home/apt",225,1,0,NA,NA,1,0
824,"Huge Modern Ensuite. Convenient. Incredible view!",19442899,"David","Manhattan","Hell's Kitchen",40.75545,-73.99547,"Private room",119,7,11,"10/20/2017",0.37,1,0
825,"Spacious Bright Top Floor Apt w/ Balcony in LIC 2",25944182,"Yves","Queens","Sunnyside",40.7387,-73.9283,"Private room",76,2,53,"7/1/2019",3.15,2,76
826,"Stunning spacious study private bedroom #4",183423525,"Nina","Manhattan","Upper West Side",40.80324,-73.96816,"Private room",65,30,1,"6/30/2019",1,4,211
827,"Loft room - Lower East Side (Downtown Manhattan)",55260292,"Andre","Manhattan","Lower East Side",40.72017,-73.98412,"Private room",90,2,14,"5/20/2019",0.67,1,60
828,"★NYC Place with  Private Garden★sleep 4★",270077888,"Jane","Brooklyn","Bushwick",40.69266,-73.92684,"Private room",99,3,3,"7/3/2019",3,2,17
829,"Beautiful Luxury Building Studio Apartment",10089405,"Sini","Brooklyn","Fort Greene",40.68643,-73.97873,"Entire home/apt",120,1,1,"1/4/2019",0.16,1,1
830,"Huge Room in First Floor Brownstone",24487418,"Daniel","Brooklyn","Crown Heights",40.67318,-73.94842,"Private room",75,2,19,"8/26/2016",0.39,1,0
831,"Martha's Guest Room",110213244,"Russ","Brooklyn","South Slope",40.66209,-73.98671,"Private room",47,1,4,"5/12/2019",0.42,1,362
832,"Macon Modern Brownstone Suite",154550758,"Khadijah","Brooklyn","Bedford-Stuyvesant",40.68417,-73.92726,"Entire home/apt",160,2,0,NA,NA,1,171
833,"Large Private Sun Drenched Bedroom in Ridgewood",69001602,"Eugene","Queens","Ridgewood",40.70605,-73.89928,"Private room",48,2,6,"5/13/2018",0.17,1,0
834,"Sunny 1br across from the park",52251632,"Daniel","Manhattan","Morningside Heights",40.80711,-73.95826,"Entire home/apt",114,1,1,"8/20/2017",0.04,1,0
835,"The Historic Jackson Heights",137575707,"Lilia","Queens","Jackson Heights",40.75091,-73.89304,"Private room",62,2,55,"6/11/2019",2.31,1,318
836,"SPACIOUS, bright 3BD apartment",248056954,"Isabelle","Brooklyn","Williamsburg",40.71018,-73.95377,"Entire home/apt",180,4,0,NA,NA,1,23
837,"Updated East Side 2 Bedroom",61391963,"Corporate Housing","Manhattan","Kips Bay",40.74096,-73.98055,"Entire home/apt",159,30,4,"9/14/2018",0.12,91,364
838,"2 bedroom floor-thru in heart of Park Slope -",4058709,"Elise And Dave","Brooklyn","Park Slope",40.67497,-73.97913,"Entire home/apt",235,5,41,"6/27/2019",2.22,2,219
839,"Newly Renovated 1 Bedroom in Soho / West Village",16945810,"Rob","Manhattan","SoHo",40.72609,-74.00035,"Entire home/apt",250,3,1,"4/17/2019",0.36,1,0
840,"nice room in bedstuy G",6885157,"Randy","Brooklyn","Bedford-Stuyvesant",40.68403,-73.94979,"Private room",45,1,87,"7/2/2019",2.5,15,305
841,"Prime Location of Flushing Queens 豪华卧室 旅途中的家 D",63312104,"Max","Queens","Flushing",40.74729,-73.81865,"Private room",60,1,92,"5/30/2019",4.26,6,362
842,"Double Room in Upper East Side, near Central Park",226764496,"A. Nicholas","Manhattan","Upper East Side",40.76499,-73.95831,"Private room",80,1,29,"7/4/2019",4.26,4,18
843,"City Views, Private Balcony, Clean, Private Bath",188230441,"MyHomes","Queens","Flushing",40.75342,-73.83164,"Private room",90,1,27,"6/17/2019",4.09,1,29
844,"luxury bldg for the coming holiday",10280728,"Uri","Manhattan","Roosevelt Island",40.77,-73.94285,"Entire home/apt",150,1,0,NA,NA,1,0
845,"Tribeca Treasure",6096884,"Juliet","Manhattan","SoHo",40.71973,-74.00232,"Entire home/apt",288,3,4,"5/9/2019",0.7,1,87
846,"Refined private room next to Columbia University",126653377,"Sergii","Manhattan","Harlem",40.80384,-73.95754,"Private room",63,30,1,"4/1/2019",0.3,6,364
847,"Bright room in quiet Brooklyn home",40693481,"Miles","Brooklyn","Kensington",40.64493,-73.97801,"Private room",38,5,1,"8/31/2015",0.02,1,0
848,"Amazing 1bedroom uptown, Manhattan",19007308,"Luca","Manhattan","Harlem",40.82337,-73.94529,"Entire home/apt",155,5,22,"5/10/2019",0.44,1,362
849,"Charming Bedroom in West Village",8962177,"Giselle","Manhattan","West Village",40.73231,-74.00377,"Private room",90,1,4,"7/2/2019",1.26,1,330
850,"Spacey Bushwick Loft! Perfect location! Big Room!",2201963,"Violeta","Brooklyn","Williamsburg",40.70631,-73.93338,"Private room",64,21,0,NA,NA,1,5
851,"Upper East Side Studio - 77/1st Ave",48278499,"Daniel","Manhattan","Upper East Side",40.77161,-73.95295,"Entire home/apt",140,1,0,NA,NA,1,0
