book_id,authors,title
832,J.D. Robb,"Naked in Death (In Death, #1)"
833,John Grisham,The Chamber
834,Stephenie Meyer,"Midnight Sun (Twilight, #1.5)"
835,"Masashi Kishimoto, Katy Bridges","Naruto, Vol. 01: The Tests of the Ninja (Naruto, #1)"
836,Rachel Joyce,"The Unlikely Pilgrimage of Harold Fry (Harold Fry, #1)"
837,David Levithan,"Every Day (Every Day, #1)"
838,Orson Scott Card,"Xenocide (Ender's Saga, #3)"
839,"William Shakespeare, Robert          Jackson, Barbara A. Mowat, Paul Werstine",The Merchant of Venice
840,James Clavell,"Shōgun (Asian Saga, #1)"
841,J.R. Ward,"Lover Awakened (Black Dagger Brotherhood, #3)"
842,Sarah J. Maas,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)"
843,E.L. James,"Fifty Shades Trilogy (Fifty Shades, #1-3)"
844,"Bill Martin Jr., John Archambault, Lois Ehlert",Chicka Chicka Boom Boom
845,Raina Telgemeier,Smile
846,"George Orwell, Christopher Hitchens",Animal Farm / 1984
847,Jacquelyn Mitchard,"The Deep End of the Ocean (Cappadora Family, #1)"
848,Amy Tan,The Bonesetter's Daughter
849,Louise Rennison,"Angus, Thongs and Full-Frontal Snogging (Confessions of Georgia Nicolson, #1)"
850,Robin Sloan,"Mr. Penumbra's 24-Hour Bookstore (Mr. Penumbra's 24-Hour Bookstore, #1)"
851,V.C. Andrews,"Flowers in the Attic (Dollanganger, #1)"
852,"Paul Kalanithi, Abraham Verghese",When Breath Becomes Air
853,Jerry Spinelli,Maniac Magee
854,Chuck Palahniuk,Invisible Monsters
855,William Shakespeare,Twelfth Night
856,Lois Lowry,"Gathering Blue (The Giver, #2)"
857,Ellen Raskin,The Westing Game
858,Pierce Brown,"Red Rising (Red Rising, #1)"
859,Brent Weeks,"The Way of Shadows (Night Angel, #1)"
860,Barbara Kingsolver,"The Bean Trees (Greer Family, #1)"
861,Jamie McGuire,"Walking Disaster (Beautiful, #2)"
862,Brandon Sanderson,"Words of Radiance (The Stormlight Archive, #2)"
863,"Sam McBratney, Anita Jeram",Guess How Much I Love You
864,Diana Gabaldon,"The Fiery Cross (Outlander, #5)"
865,"Stephen King, John D. MacDonald",Night Shift
866,Peter Benchley,Jaws
867,Nicole Krauss,The History of Love
868,"Astrid Lindgren, Lauren Child, Florence Lamborn, Nancy Seligsohn",Pippi Longstocking
869,"Muriel Barbery, Alison Anderson",The Elegance of the Hedgehog
870,"Doris Kearns Goodwin, Suzanne Toren",Team of Rivals: The Political Genius of Abraham Lincoln
871,Charlaine Harris,"Dead in the Family (Sookie Stackhouse, #10)"
872,"Albert Camus, Stuart Gilbert",The Plague
873,"Lemony Snicket, Brett Helquist","The Reptile Room (A Series of Unfortunate Events, #2)"
874,Susannah Cahalan,Brain on Fire: My Month of Madness
875,Melissa Marr,"Wicked Lovely (Wicked Lovely, #1)"
876,H.A. Rey,Curious George
877,"Michael Ende, Ralph Manheim, Roswitha Quadflieg",The Neverending Story
878,Sylvia Nasar,A Beautiful Mind
879,"Upton Sinclair, Earl Lee, Kathleen DeGrave",The Jungle
880,Kelley Armstrong,"The Summoning (Darkest Powers, #1)"
881,Oliver Sacks,The Man Who Mistook His Wife for a Hat and Other Clinical Tales
882,Ken Follett,Eye of the Needle
883,Margaret Atwood,The Blind Assassin
884,Ransom Riggs,"Hollow City (Miss Peregrine’s Peculiar Children, #2)"
885,Andre Dubus III,House of Sand and Fog
886,M.R. Carey,The Girl with All the Gifts
887,William Faulkner,As I Lay Dying
888,Crockett Johnson,Harold and the Purple Crayon
889,J.R. Ward,"Lover Eternal (Black Dagger Brotherhood, #2)"
890,Isaac Asimov,Second Foundation (Foundation #3)
891,Jim Butcher,"Fool Moon (The Dresden Files, #2)"
892,Malcolm Gladwell,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants"
893,"Hiromu Arakawa, Akira Watanabe","Fullmetal Alchemist, Vol. 1 (Fullmetal Alchemist, #1)"
894,Terry Pratchett,"Guards! Guards! (Discworld, #8)"
895,Joan Didion,The Year of Magical Thinking
896,Lionel Shriver,We Need to Talk About Kevin
897,Arthur C. Clarke,"Rendezvous with Rama (Rama, #1)"
898,Anne Rice,"The Queen of the Damned (The Vampire Chronicles, #3)"
899,"Edith Wharton, Maureen Howard",The Age of Innocence
900,Richard Dawkins,The Selfish Gene
901,Geraldine Brooks,Year of Wonders
902,Michael Connelly,"The Black Echo (Harry Bosch, #1; Harry Bosch Universe, #1)"
903,Ayn Rand,Anthem
904,Sylvain Reynard,"Gabriel's Inferno (Gabriel's Inferno, #1)"
905,"Judi Barrett, Ron Barrett",Cloudy With a Chance of Meatballs
906,Helen Simonson,Major Pettigrew's Last Stand
907,Nora Roberts,"Vision in White (Bride Quartet, #1)"
908,Jodi Picoult,The Tenth Circle
909,Rick Riordan,"The Throne of Fire (Kane Chronicles, #2)"
910,John Scalzi,"Old Man's War (Old Man's War, #1)"
911,Stephen King,Gerald's Game
912,Janet Evanovich,"Two for the Dough (Stephanie Plum, #2)"
913,"Irma S. Rombauer, Marion Rombauer Becker, Ethan Becker",The Joy of Cooking
914,Joe Haldeman,"The Forever War (The Forever War, #1)"
915,"Stephen King, Bettina Blanch Tyroller",Insomnia
916,Azar Nafisi,Reading Lolita in Tehran
917,Joe Abercrombie,"The Blade Itself (The First Law, #1)"
918,Eoin Colfer,"The Arctic Incident (Artemis Fowl, #2)"
919,Annie Proulx,The Shipping News
920,"Marie Kondō, Cathy Hirano",The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing
921,"Jennifer Niven, فرانک معنوی",All the Bright Places
922,Kathy Reichs,"Déjà Dead (Temperance Brennan, #1)"
923,Michael Scott,"The Alchemyst (The Secrets of the Immortal Nicholas Flamel, #1)"
924,Jeffrey Eugenides,The Marriage Plot
925,"Isabel Allende, Margaret Sayers Peden",Daughter of Fortune
926,Jessica Knoll,Luckiest Girl Alive
927,Ellen Hopkins,"Crank (Crank, #1)"
928,Maggie Stiefvater,"The Raven Boys (The Raven Cycle, #1)"
929,Richard Matheson,I Am Legend and Other Stories
930,Elizabeth Strout,Olive Kitteridge
931,"Lena Dunham, Joana Avillez","Not That Kind of Girl: A Young Woman Tells You What She's ""Learned"""
932,James C. Collins,Good to Great: Why Some Companies Make the Leap... and Others Don't
933,Kristin Cashore,"Fire (Graceling Realm, #2)"
934,Samuel Beckett,Waiting for Godot
935,Jack London,White Fang
936,"Stephen King, Bernie Wrightson","Wolves of the Calla (The Dark Tower, #5)"
937,Philip Pullman,His Dark Materials (His Dark Materials #1-3)
938,J.A. Redmerski,"The Edge of Never (The Edge of Never, #1)"
939,Kimberly McCreight,Reconstructing Amelia
940,Jojo Moyes,One Plus One
941,Michael Cunningham,The Hours
942,Alice Clayton,"Wallbanger (Cocktail, #1)"
943,David Sedaris,Holidays on Ice
944,Stephen King,Desperation
945,Lauren Kate,"Passion (Fallen, #3)"
946,James Dashner,"The Kill Order (Maze Runner, #0.5)"
947,Susan Ee,"Angelfall (Penryn & the End of Days, #1)"
948,Richard Russo,Empire Falls
949,Robert Jordan,"The Fires of Heaven (Wheel of Time, #5)"
950,Jandy Nelson,I'll Give You the Sun
951,Chuck Palahniuk,Survivor
952,Sophie Kinsella,"Shopaholic & Baby (Shopaholic, #5)"
953,Stephen King,"The Dark Tower (The Dark Tower, #7)"
954,Catherine Hardwicke,Twilight Director's Notebook : The Story of How We Made the Movie Based on the Novel by Stephenie Meyer
955,Sophie Kinsella,"Shopaholic Takes Manhattan (Shopaholic, #2)"
956,Richard Feynman,"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character"
957,Maggie Stiefvater,"Linger (The Wolves of Mercy Falls, #2)"
958,L.M. Montgomery,"The Complete Anne of Green Gables Boxed Set (Anne of Green Gables, #1-8)"
959,"James Joyce, Seamus Deane",A Portrait of the Artist as a Young Man
960,"Robert Jordan, Brandon Sanderson","The Gathering Storm (Wheel of Time, #12)"
961,"George Eliot, Michel Faber",Middlemarch
962,Colleen Hoover,"Point of Retreat (Slammed, #2)"
963,John Grisham,The Partner
964,J.R.R. Tolkien,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings
965,S.C. Stephens,"Thoughtless (Thoughtless, #1)"
966,Scott Turow,Presumed Innocent
967,Stephen King,The Dark Half
968,Stacy Schiff,Cleopatra: A Life
969,Thomas L. Friedman,The World Is Flat: A Brief History of the Twenty-first Century
970,Brandon Sanderson,"Steelheart (The Reckoners, #1)"
971,"Marcus Pfister, J. Alison James",The Rainbow Fish
972,Jules Verne,"Journey to the Center of the Earth (Extraordinary Voyages, #3)"
973,Gretchen Rubin,"The Happiness Project: Or Why I Spent a Year Trying to Sing in the Morning, Clean My Closets, Fight Right, Read Aristotle, and Generally Have More Fun"
974,Philip K. Dick,The Man in the High Castle
975,"Vincent Bugliosi, Curt Gentry",Helter Skelter: The True Story of the Manson Murders
976,"Robert Kapilow, Dr. Seuss","Dr. Seuss's Green Eggs and Ham: For Soprano, Boy Soprano, and Orchestra"
977,"Dante Alighieri, Anthony M. Esolen",Inferno (The Divine Comedy #1)
978,Deborah Harkness,"Shadow of Night (All Souls Trilogy, #2)"
979,Jodi Picoult,Leaving Time
980,Patricia Briggs,"Moon Called (Mercy Thompson, #1)"
981,Melissa de la Cruz,"Blue Bloods (Blue Bloods, #1)"
982,Caleb Carr,"The Alienist (Dr. Laszlo Kreizler, #1)"
983,Ta-Nehisi Coates,Between the World and Me
984,"John Milton, John      Leonard",Paradise Lost
985,Michael   Lewis,The Big Short: Inside the Doomsday Machine
986,Stephen King,The Girl Who Loved Tom Gordon
987,"Patrick Ness, Jim Kay, Siobhan Dowd",A Monster Calls
988,"Robert Jordan, Brandon Sanderson","Towers of Midnight (Wheel of Time, #13)"
989,Frederick Forsyth,The Day of the Jackal
990,"Jason Fried, David Heinemeier Hansson",Rework
991,Rainbow Rowell,Attachments
992,"Stephenie Meyer, Ilyana Kadushin, Matt Walters","The Twilight Saga (Twilight, #1-4)"
993,Carol Rifka Brunt,Tell the Wolves I'm Home
994,James Herriot,"All Creatures Great and Small (All Creatures Great and Small, #1-2)"
995,Michelle Hodkin,"The Unbecoming of Mara Dyer (Mara Dyer, #1)"
996,Janet Evanovich,"Three to Get Deadly (Stephanie Plum, #3)"
997,Emmuska Orczy,The Scarlet Pimpernel
998,"Jon Stone, Michael J. Smollin",The Monster at the End of this Book
999,Judy Blume,"Tales of a Fourth Grade Nothing (Fudge, #1)"
1000,Leigh Bardugo,"Shadow and Bone (Shadow and Bone, #1)"
1001,"Herman Koch, Sam Garrett",The Dinner
1002,Marie Lu,"Champion (Legend, #3)"
1003,Carl Sagan,Contact
1004,Stephanie Perkins,"Lola and the Boy Next Door (Anna and the French Kiss, #2)"
1005,Zadie Smith,White Teeth
1006,"Chris Kyle, Scott McEwen, Jim DeFelice",American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History
1007,Chelsea Handler,My Horizontal Life: A Collection of One-Night Stands
1008,Pittacus Lore,"The Power of Six (Lorien Legacies, #2)"
1009,Meg Wolitzer,The Interestings
1010,Bill Watterson,The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury
1011,Geraldine Brooks,People of the Book
1012,Kate Morton,The Secret Keeper
1013,Better Homes and Gardens,Better Homes and Gardens New Cook Book  
1014,Douglas Adams,"So Long, and Thanks for All the Fish (Hitchhiker's Guide to the Galaxy, #4)"
1015,"Hermann Hesse, Basil Creighton",Steppenwolf
1016,Tess Gerritsen,"The Surgeon (Rizzoli & Isles, #1)"
1017,Jojo Moyes,The Girl You Left Behind
1018,Robin Hobb,"Royal Assassin (Farseer Trilogy, #2)"
1019,Arthur C. Clarke,Childhood's End
1020,"Kate DiCamillo, Timothy Basil Ering",The Tale of Despereaux
1021,"Barbara Kingsolver, Steven L. Hopp, Camille Kingsolver, Richard A. Houser","Animal, Vegetable, Miracle: A Year of Food Life"
1022,Sarah J. Maas,"Heir of Fire (Throne of Glass, #3)"
1023,Robert Jordan,"Lord of Chaos (Wheel of Time, #6)"
1024,Alan Bradley,"The Sweetness at the Bottom of the Pie (Flavia de Luce, #1)"
1025,Donald Miller,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality
1026,Diana Gabaldon,"A Breath of Snow and Ashes (Outlander, #6)"
1027,Rick Riordan,"The Blood of Olympus (The Heroes of Olympus, #5)"
1028,Liane Moriarty,Truly Madly Guilty
1029,"Brian K. Vaughan, Fiona Staples","Saga, Vol. 1 (Saga, #1)"
1030,Chad Harbach,The Art of Fielding
1031,Ernest Hemingway,A Moveable Feast
1032,Brandon Mull,"Fablehaven (Fablehaven, #1)"
1033,"Lemony Snicket, Brett Helquist","The Wide Window (A Series of Unfortunate Events, #3)"
1034,Jim Butcher,"Grave Peril (The Dresden Files, #3)"
1035,Walter Isaacson,Einstein: His Life and Universe
1036,S.C. Stephens,"Effortless (Thoughtless, #2)"
1037,John Grisham,The Street Lawyer
1038,Mildred D. Taylor,"Roll of Thunder, Hear My Cry (Logans, #4)"
1039,"Seth Grahame-Smith, Jane Austen","Pride and Prejudice and Zombies (Pride and Prejudice and Zombies, #1)"
1040,David Sedaris,Let's Explore Diabetes with Owls
1041,"Fyodor Dostoyevsky, Constance Garnett, Alan Myers, Joseph Frank, Anna Brailovsky",The Idiot
1042,Douglas Adams,Dirk Gently's Holistic Detective Agency (Dirk Gently #1)
1043,Jeff Kinney,"Rodrick Rules (Diary of a Wimpy Kid, #2)"
1044,Mindy Kaling,Why Not Me?
1045,Veronica Roth,"Four: A Divergent Story Collection (Divergent, #0.1 - 0.4)"
1046,"Aziz Ansari, Eric Klinenberg",Modern Romance
1047,"Katherine Applegate, Patricia Castelao",The One and Only Ivan
1048,Sebastian Junger,The Perfect Storm: A True Story of Men Against the Sea
1049,Brandon Sanderson,"Elantris (Elantris, #1)"
1050,Patrick Ness,"The Knife of Never Letting Go (Chaos Walking, #1)"
1051,Jim Fergus,One Thousand White Women: The Journals of May Dodd (One Thousand White Women#1)
1052,Jodi Picoult,Handle with Care
1053,"Stephen King, Darrel Anderson","Song of Susannah (The Dark Tower, #6)"
1054,Ally Condie,"Reached (Matched, #3)"
1055,Salman Rushdie,Midnight's Children
1056,Max Brooks,The Zombie Survival Guide: Complete Protection from the Living Dead
1057,John Grisham,The Testament
1058,Agatha Christie,"Murder at the Vicarage (Miss Marple, #1)"
1059,Margaret Peterson Haddix,"Among the Hidden (Shadow Children, #1)"
1060,Michael Pollan,In Defense of Food: An Eater's Manifesto
1061,Elizabeth George Speare,The Witch of Blackbird Pond
1062,Kiera Cass,"The Heir (The Selection, #4)"
1063,Sophie Kinsella,"Shopaholic Ties the Knot (Shopaholic, #3)"
1064,"Wilkie Collins, Matthew Sweet",The Woman in White
1065,"Robert Galbraith, J.K. Rowling","Career of Evil (Cormoran Strike, #3)"
1066,Jenny Han,"The Summer I Turned Pretty (Summer, #1)"
1067,Janet Evanovich,"Four to Score (Stephanie Plum, #4)"
1068,James McBride,The Color of Water: A Black Man's Tribute to His White Mother
1069,"Steven D. Levitt, Stephen J. Dubner","SuperFreakonomics: Global Cooling, Patriotic Prostitutes And Why Suicide Bombers Should Buy Life Insurance"
1070,Karen Marie Moning,"Darkfever (Fever, #1)"
1071,Terry Goodkind,"Stone of Tears (Sword of Truth, #2)"
1072,Emily Giffin,Heart of the Matter
1073,"William Makepeace Thackeray, John Carey",Vanity Fair
1074,Kurt Vonnegut Jr.,The Sirens of Titan
1075,"Stephen King, Dominique Dill",Dolores Claiborne
1076,Cynthia D'Aprix Sweeney,The Nest
1077,"Bill Willingham, Lan Medina, Steve Leialoha, Craig Hamilton, James Jean","Fables, Vol. 1: Legends in Exile"
1078,David    Allen,Getting Things Done: The Art of Stress-Free Productivity
1079,James Redfield,"The Celestine Prophecy (Celestine Prophecy, #1)"
1080,Huntley Fitzpatrick,My Life Next Door
1081,Ken Follett,Winter of the World (The Century Trilogy #2)
1082,"Haruki Murakami, Philip Gabriel",Colorless Tsukuru Tazaki and His Years of Pilgrimage
1083,Alice Sebold,Lucky
1084,Virginia Woolf,To the Lighthouse
1085,Chetan Bhagat,Five Point Someone
1086,Laurell K. Hamilton,"Guilty Pleasures (Anita Blake, Vampire Hunter, #1)"
1087,Markus Zusak,I Am the Messenger
1088,"Thomas Hardy, Rosemarie Morgan, Shannon Russell",Far from the Madding Crowd
1089,Terry Pratchett,"Equal Rites (Discworld, #3; Witches #1)"
1090,Mark Z. Danielewski,House of Leaves
1091,Patricia Cornwell,"Cruel & Unusual (Kay Scarpetta, #4)"
1092,John Grisham,Sycamore Row
1093,"P.C. Cast, Kristin Cast","Awakened (House of Night, #8)"
1094,Willa Cather,My Ántonia
1095,Susan Beth Pfeffer,"Life As We Knew It (Last Survivors, #1)"
1096,"Jon Stewart, Ben Karlin, David Javerbaum, Rich Bloomquist, Steve Bodow, Tim Carvell, Eric Drysdale, J.R. Havlan, Scott Jacobson, Tom Johnson, Rob Kutner, Chris Regan, Jason Reich, Jason Ross, Stephen Colbert, Samantha Bee, Rob Corddry, Brendan Hay, Ed Helms",America (The Book): A Citizen's Guide to Democracy Inaction
1097,"Don Piper, Cecil Murphey",90 Minutes in Heaven: A True Story of Death and Life
1098,Nicholas Sparks,The Longest Ride
1099,"Lao Tzu, Gia-Fu Feng, Jane English, Chungliang Al Huang, Rowena Pattee Kryder, Toinette Lippe",Tao Te Ching
1100,Jeffrey Archer,"Kane and Abel (Kane and Abel, #1)"
1101,Jodi Picoult,Change of Heart
1102,Augusten Burroughs,Dry
1103,James Patterson,Sam's Letters to Jennifer
1104,E.L. James,"Grey (Fifty Shades, #4)"
1105,Frank Herbert,Dune Messiah (Dune Chronicles #2)
1106,C.S. Lewis,The Great Divorce
1107,Jennifer Weiner,Little Earthquakes
1108,"Hans Christian Andersen, Lily Owens, Arthur Rackham, Hans Richter",The Complete Fairy Tales
1109,Mark Cotta Vaz,"New Moon: The Complete Illustrated Movie Companion (The Twilight Saga: The Official Illustrated Movie Companion, #2)"
1110,Colleen Hoover,"Maybe Someday (Maybe, #1)"
1111,Jane Green,Mr. Maybe
1112,L.M. Montgomery,"Anne of the Island (Anne of Green Gables, #3)"
1113,"Friedrich Nietzsche, Walter Kaufmann",Thus Spoke Zarathustra
1114,"Elizabeth Gaskell, Alan Shelston",North and South
1115,Jaycee Dugard,A Stolen Life
1116,Amish Tripathi,"The Immortals of Meluha (Shiva Trilogy, #1)"
1117,Michael Crichton,"The Lost World (Jurassic Park, #2)"
1118,Lauren Oliver,"Requiem (Delirium, #3)"
1119,Robert Jordan,"A Crown of Swords (Wheel of Time, #7)"
1120,"Aesop, Laura Harris, Laura Gibbs",Aesop's Fables
1121,Cormac McCarthy,"Blood Meridian, or the Evening Redness in the West"
1122,Becca Fitzpatrick,"Finale (Hush, Hush, #4)"
1123,Stephen King,Skeleton Crew
1124,Chuck Palahniuk,Lullaby
1125,Chetan Bhagat,2 States: The Story of My Marriage
1126,"Matsuri Hino, Tomo Kimura","Vampire Knight, Vol. 1 (Vampire Knight, #1)"
1127,Jim Butcher,"Summer Knight (The Dresden Files, #4)"
1128,"Anne McCaffrey, Teodor Panasiński","Dragonflight (Dragonriders of Pern, #1)"
1129,"John D. Rateliff, J.R.R. Tolkien","The History of the Hobbit, Part One: Mr. Baggins"
1130,Colleen Hoover,Ugly Love
1131,Joanne Harris,"Chocolat (Chocolat, #1)"
1132,Jay Anson,The Amityville Horror
1133,Michael Ondaatje,The English Patient
1134,Sylvain Reynard,"Gabriel's Rapture (Gabriel's Inferno, #2)"
1135,"James Joyce, Jeri Johnson",Dubliners
1136,Colum McCann,Let the Great World Spin
1137,Eoin Colfer,"The Eternity Code (Artemis Fowl, #3)"
1138,Harlan Coben,Tell No One
1139,Stephen King,The Tommyknockers
1140,Rachel Hawkins,"Hex Hall (Hex Hall, #1)"
1141,Austin Kleon,Steal Like an Artist: 10 Things Nobody Told You About Being Creative
1142,Neal Stephenson,Cryptonomicon
1143,Christina Lauren,"Beautiful Bastard (Beautiful Bastard, #1)"
1144,Barbara Kingsolver,Prodigal Summer
1145,Joyce Carol Oates,We Were the Mulvaneys
1146,Scott McCloud,Understanding Comics: The Invisible Art
1147,"Kami Garcia, Margaret Stohl","Beautiful Darkness (Caster Chronicles, #2)"
1148,Jon Ronson,The Psychopath Test: A Journey Through the Madness Industry
1149,Jodi Picoult,Vanishing Acts
1150,David Baldacci,Absolute Power
1151,Janet Evanovich,"Hot Six (Stephanie Plum, #6)"
1152,Mitch Albom,The Time Keeper
1153,Christopher Moore,"A Dirty Job (Grim Reaper, #1)"
1154,Michael   Lewis,Moneyball: The Art of Winning an Unfair Game
1155,Jonathan Stroud,"The Amulet of Samarkand (Bartimaeus, #1)"
1156,"Stephen Colbert, Richard Dahm, Paul Dinello, Allison Silverman, Michael Brumm, Eric Drydale, Rob Dubbin, Glenn Eichler, Peter Grosz, Peter Gwinn, Jay Katsir, Laura Krafft, Frank Lesser, Tom Purcell",I Am America (And So Can You!)
1157,"Kenneth H. Blanchard, Spencer Johnson",The One Minute Manager
1158,Leon Uris,Exodus
1159,Ursula Hegi,Stones from the River
1160,Raymond Chandler,"The Big Sleep (Philip Marlowe, #1)"
1161,John Steinbeck,Cannery Row
1162,Ellen DeGeneres,Seriously... I'm Kidding
1163,"Lemony Snicket, Brett Helquist","The Miserable Mill (A Series of Unfortunate Events, #4)"
1164,Eowyn Ivey,The Snow Child
1165,"J. Lynn, Jennifer L. Armentrout","Wait for You (Wait for You, #1)"
1166,Jeff Kinney,"The Last Straw (Diary of a Wimpy Kid, #3)"
1167,"Dante Alighieri, Allen Mandelbaum, Eugenio Montale",The Divine Comedy
1168,"Benjamin Hoff, Ernest H. Shepard",The Tao of Pooh
1169,Jennifer L. Armentrout,"Onyx (Lux, #2)"
1170,Tahereh Mafi,"Unravel Me (Shatter Me, #2)"
1171,Sarah Dunant,The Birth of Venus
1172,Eoin Colfer,"The Opal Deception  (Artemis Fowl, #4)"
1173,"David Lagercrantz, Stieg Larsson, George Goulding","The Girl in the Spider's Web (Millennium, #4)"
1174,Emma Cline,The Girls
1175,Shannon Hale,"The Goose Girl (The Books of Bayern, #1)"
1176,Dennis Lehane,Mystic River
1177,Isaac Marion,"Warm Bodies (Warm Bodies, #1)"
1178,"Mark Twain, Everett H. Emerson",The Prince and the Pauper
1179,Robert A. Heinlein,The Moon is a Harsh Mistress
1180,"Elif Shafak, إليف شافاق, ارسلان فصیحی, محمد درويش",The Forty Rules of Love
1181,Janet Evanovich,"High Five (Stephanie Plum, #5)"
1182,Stephen King,Joyland
1183,"Hajime Isayama, Sheldon Drzka","Attack on Titan, Vol. 1 (Attack on Titan, #1)"
1184,F. Scott Fitzgerald,Tender Is the Night
1185,Olive Ann Burns,Cold Sassy Tree
1186,Tennessee Williams,The Glass Menagerie
1187,"Elena Ferrante, Ann Goldstein",My Brilliant Friend (The Neapolitan Novels #1)
1188,Timothy Ferriss,The 4-Hour Workweek
1189,Robin S. Sharma,The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams  Reaching Your Destiny
1190,Amor Towles,Rules of Civility
1191,Larry Niven,"Ringworld (Ringworld, #1)"
1192,Ruta Sepetys,Between Shades of Gray
1193,"Andrew Clements, Brian Selznick",Frindle
1194,Jeff Kinney,"Dog Days (Diary of a Wimpy Kid, #4)"
1195,Louise Erdrich,The Round House
1196,Madeleine L'Engle,"A Wind in the Door (A Wrinkle in Time Quintet, #2)"
1197,Veronica Roth,"Free Four: Tobias Tells the Divergent Knife-Throwing Scene (Divergent, #1.5)"
1198,Hanya Yanagihara,A Little Life
1199,"Brian K. Vaughan, Pia Guerra, José Marzán Jr.","Y: The Last Man, Vol. 1: Unmanned"
1200,Brandon Sanderson,"The Alloy of Law (Mistborn, #4)"
1201,Charlaine Harris,"Dead Reckoning (Sookie Stackhouse, #11)"
1202,"Anne Tyler, Jennifer Bassett",The Accidental Tourist
1203,Benjamin Alire Sáenz,"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe, #1)"
1204,H.G. Wells,The Invisible Man
1205,"Haruki Murakami, Alfred Birnbaum",Hard-Boiled Wonderland and the End of the World
1206,"Paulo Coelho, Alan R. Clarke",By the River Piedra I Sat Down and Wept
1207,"Johann David Wyss, Scott McKowen, Arthur Pober",The Swiss Family Robinson  
1208,Stephen King,Four Past Midnight 
1209,Jennifer Probst,"The Marriage Bargain (Marriage to a Billionaire, #1)"
1210,L.M. Montgomery,"Anne of Avonlea (Anne of Green Gables, #2)"
1211,"Watty Piper, Doris Hauman, George Hauman",The Little Engine That Could
1212,Karen Joy Fowler,We Are All Completely Beside Ourselves
1213,Orson Scott Card,"Children of the Mind (Ender's Saga, #4)"
1214,James Joyce,Ulysses
1215,Sarah Dessen,Someone Like You
1216,Alan Brennert,Moloka'i
1217,Anne Rice,"The Witching Hour (Lives of the Mayfair Witches, #1)"
1218,Frank E. Peretti,"This Present Darkness (Darkness, #1)"
1219,Jessica Sorensen,"The Coincidence of Callie & Kayden (The Coincidence, #1)"
1220,Lauren Groff,Fates and Furies
1221,Judy Blume,Summer Sisters
1222,"E.B. White, Garth Williams",Stuart Little
1223,Isaac Asimov,"The Foundation Trilogy (Foundation, #1-3)"
1224,Brian Greene,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory"
1225,"Lemony Snicket, Brett Helquist","The Austere Academy (A Series of Unfortunate Events, #5)"
1226,Janet Evanovich,"Seven Up (Stephanie Plum, #7)"
1227,Kelley Armstrong,"The Awakening (Darkest Powers, #2)"
1228,Jim Butcher,"Death Masks (The Dresden Files, #5)"
1229,Janell Cannon,Stellaluna
1230,Joe Abercrombie,Before They Are Hanged (The First Law #2)
1231,Nancy Horan,Loving Frank
1232,"Janet Evanovich, Lorelei King","Hard Eight (Stephanie Plum, #8)"
1233,"Lemony Snicket, Brett Helquist","The Vile Village (A Series of Unfortunate Events, #7)"
1234,Flora Rheta Schreiber,Sybil: The Classic True Story of a Woman Possessed by Sixteen Personalities
1235,Carl Sagan,Cosmos
1236,Chuck Palahniuk,Haunted
1237,Rosamunde Pilcher,The Shell Seekers
1238,Dave Eggers,What Is the What
1239,"Gabriel García Márquez, Gregory Rabassa",Chronicle of a Death Foretold
1240,"Ronald Holt, Arthur Conan Doyle","A Scandal in Bohemia (The Adventures of Sherlock Holmes, #1)"
1241,"Bill O'Reilly, Martin Dugard",Killing Lincoln: The Shocking Assassination that Changed America Forever
1242,Jhumpa Lahiri,The Lowland
1243,John Flanagan,"The Ruins of Gorlan (Ranger's Apprentice, #1)"
1244,Laurie Halse Anderson,Wintergirls
1245,John Grisham,The Brethren
1246,Robin Hobb,"Assassin's Quest (Farseer Trilogy, #3)"
1247,Ira Levin,Rosemary's Baby
1248,"Stephen King, Peter Straub","The Talisman (The Talisman, #1)"
1249,Robert Jordan,"The Path of Daggers (Wheel of Time, #8)"
1250,Jack Kerouac,The Dharma Bums
1251,Kelley Armstrong,"The Reckoning (Darkest Powers, #3)"
1252,Katherine Boo,"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity"
1253,"P.L. Travers, Mary Shepard","Mary Poppins (Mary Poppins, #1)"
1254,Scott Lynch,"Red Seas Under Red Skies (Gentleman Bastard, #2)"
1255,Sandra Cisneros,The House on Mango Street
1256,David Benioff,City of Thieves
1257,Jeaniene Frost,"Halfway to the Grave (Night Huntress, #1)"
1258,"Roald Dahl, Quentin Blake",The Twits
1259,Garth Nix,"Abhorsen (Abhorsen, #3)"
1260,"James Patterson, Peter de Jonge",The Beach House
1261,Stephen King,The Eyes of the Dragon
1262,Frank Herbert,Children of Dune (Dune Chronicles #3)
